DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId,Pop_Data.2018
12/1/2019,1,12,2019,1,0,China,CN,1392730000
12/2/2019,2,12,2019,0,0,China,CN,1392730000
12/3/2019,3,12,2019,0,0,China,CN,1392730000
12/4/2019,4,12,2019,0,0,China,CN,1392730000
12/5/2019,5,12,2019,0,0,China,CN,1392730000
12/6/2019,6,12,2019,0,0,China,CN,1392730000
12/7/2019,7,12,2019,0,0,China,CN,1392730000
12/8/2019,8,12,2019,0,0,China,CN,1392730000
12/9/2019,9,12,2019,0,0,China,CN,1392730000
12/10/2019,10,12,2019,0,0,China,CN,1392730000
12/11/2019,11,12,2019,0,0,China,CN,1392730000
12/12/2019,12,12,2019,0,0,China,CN,1392730000
12/13/2019,13,12,2019,0,0,China,CN,1392730000
12/14/2019,14,12,2019,0,0,China,CN,1392730000
12/15/2019,15,12,2019,0,0,China,CN,1392730000
12/16/2019,16,12,2019,0,0,China,CN,1392730000
12/17/2019,17,12,2019,0,0,China,CN,1392730000
12/18/2019,18,12,2019,7,0,China,CN,1392730000
12/19/2019,19,12,2019,0,0,China,CN,1392730000
12/20/2019,20,12,2019,0,0,China,CN,1392730000
12/21/2019,21,12,2019,0,0,China,CN,1392730000
12/22/2019,22,12,2019,0,0,China,CN,1392730000
12/23/2019,23,12,2019,0,0,China,CN,1392730000
12/24/2019,24,12,2019,0,0,China,CN,1392730000
12/25/2019,25,12,2019,0,0,China,CN,1392730000
12/26/2019,26,12,2019,0,0,China,CN,1392730000
12/27/2019,27,12,2019,0,0,China,CN,1392730000
12/28/2019,28,12,2019,0,0,China,CN,1392730000
12/29/2019,29,12,2019,0,0,China,CN,1392730000
12/30/2019,30,12,2019,0,0,China,CN,1392730000
12/31/2019,31,12,2019,0,0,China,CN,1392730000
