Date,Region,Province,Country,Total_Confirmed,Total_Deaths,Total_Recovered,Total_Active,Incidence_Rate,Case-Fatality_Ratio,Population
2020-01-22,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-23,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-24,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-25,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-26,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-27,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-28,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-29,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-30,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-01-31,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-01,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-02,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-03,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-04,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-05,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-06,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-07,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-08,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-09,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-10,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-11,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-12,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-13,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-14,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-15,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-16,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-17,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-18,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-19,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-20,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-21,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-22,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-23,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-24,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-25,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-26,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-27,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-28,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-02-29,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-01,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-02,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-03,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-04,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-05,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-06,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-07,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-08,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-09,,Washington,US,1.0,0.0,0.0,0.0,,,7614893
2020-03-10,,Washington,US,267.0,23.0,1.0,0.0,,,7614893
2020-03-11,,Washington,US,366.0,29.0,1.0,0.0,,,7614893
2020-03-12,,Washington,US,442.0,31.0,1.0,0.0,,,7614893
2020-03-13,,Washington,US,568.0,37.0,1.0,0.0,,,7614893
2020-03-14,,Washington,US,572.0,37.0,1.0,0.0,,,7614893
2020-03-15,,Washington,US,643.0,40.0,1.0,0.0,,,7614893
2020-03-16,,Washington,US,904.0,48.0,1.0,0.0,,,7614893
2020-03-17,,Washington,US,1076.0,55.0,1.0,0.0,,,7614893
2020-03-18,,Washington,US,1014.0,55.0,0.0,0.0,,,7614893
2020-03-19,,Washington,US,1376.0,74.0,0.0,0.0,,,7614893
2020-03-20,,Washington,US,1524.0,83.0,0.0,0.0,,,7614893
2020-03-21,,Washington,US,1793.0,94.0,0.0,0.0,,,7614893
2020-03-22,,Washington,US,1997.0,97.0,0.0,0.0,,,7614893
2020-03-23,,Washington,US,2221.0,109.0,0.0,0.0,,,7614893
2020-03-24,,Washington,US,2328.0,116.0,0.0,0.0,,,7614893
2020-03-25,,Washington,US,2591.0,133.0,0.0,0.0,,,7614893
2020-03-26,,Washington,US,3207.0,150.0,0.0,0.0,,,7614893
2020-03-27,,Washington,US,3477.0,157.0,0.0,0.0,,,7614893
2020-03-28,,Washington,US,4030.0,188.0,0.0,0.0,,,7614893
2020-03-29,,Washington,US,4465.0,198.0,0.0,0.0,,,7614893
2020-03-30,,Washington,US,4923.0,205.0,0.0,0.0,,,7614893
2020-03-31,,Washington,US,5432.0,225.0,0.0,0.0,,,7614893
2020-04-01,,Washington,US,5608.0,234.0,0.0,0.0,,,7614893
2020-04-02,,Washington,US,6389.0,271.0,0.0,0.0,,,7614893
2020-04-03,,Washington,US,6846.0,291.0,0.0,0.0,,,7614893
2020-04-04,,Washington,US,7247.0,315.0,0.0,0.0,,,7614893
2020-04-05,,Washington,US,7825.0,336.0,0.0,0.0,,,7614893
2020-04-06,,Washington,US,8311.0,381.0,0.0,0.0,,,7614893
2020-04-07,,Washington,US,8692.0,400.0,0.0,0.0,,,7614893
2020-04-08,,Washington,US,9276.0,426.0,0.0,0.0,,,7614893
2020-04-09,,Washington,US,9639.0,456.0,0.0,0.0,,,7614893
2020-04-10,,Washington,US,10119.0,483.0,0.0,0.0,,,7614893
2020-04-11,,Washington,US,10434.0,495.0,0.0,0.0,,,7614893
2020-04-12,,Washington,US,10609.0,506.0,0.0,10103.0,,,7614893
2020-04-13,,Washington,US,10635.0,513.0,0.0,10122.0,,,7614893
2020-04-14,,Washington,US,10799.0,530.0,0.0,10269.0,,,7614893
2020-04-15,,Washington,US,10942.0,552.0,0.0,10390.0,,,7614893
2020-04-16,,Washington,US,11057.0,579.0,0.0,10478.0,,,7614893
2020-04-17,,Washington,US,11517.0,603.0,0.0,10914.0,,,7614893
2020-04-18,,Washington,US,11776.0,613.0,0.0,11163.0,,,7614893
2020-04-19,,Washington,US,12255.0,636.0,0.0,11619.0,,,7614893
2020-04-20,,Washington,US,12114.0,643.0,0.0,11471.0,,,7614893
2020-04-21,,Washington,US,12563.0,664.0,0.0,11899.0,,,7614893
2020-04-22,,Washington,US,12596.0,686.0,0.0,11910.0,,,7614893
2020-04-23,,Washington,US,12753.0,711.0,0.0,12042.0,,,7614893
2020-04-24,,Washington,US,12977.0,722.0,0.0,12255.0,,,7614893
2020-04-25,,Washington,US,13319.0,737.0,0.0,12582.0,,,7614893
2020-04-26,,Washington,US,13521.0,749.0,0.0,12772.0,,,7614893
2020-04-27,,Washington,US,13686.0,764.0,0.0,12922.0,,,7614893
2020-04-28,,Washington,US,13842.0,786.0,0.0,13056.0,,,7614893
2020-04-29,,Washington,US,14070.0,801.0,0.0,13269.0,,,7614893
2020-04-30,,Washington,US,14327.0,814.0,0.0,13513.0,,,7614893
2020-05-01,,Washington,US,14637.0,824.0,0.0,13813.0,,,7614893
2020-05-02,,Washington,US,15003.0,830.0,0.0,14173.0,,,7614893
2020-05-03,,Washington,US,15185.0,834.0,0.0,14351.0,,,7614893
2020-05-04,,Washington,US,15462.0,841.0,0.0,14621.0,,,7614893
2020-05-05,,Washington,US,15594.0,862.0,0.0,14732.0,,,7614893
2020-05-06,,Washington,US,15905.0,870.0,0.0,15035.0,,,7614893
2020-05-07,,Washington,US,16231.0,891.0,0.0,15340.0,,,7614893
2020-05-08,,Washington,US,16388.0,905.0,0.0,15483.0,,,7614893
2020-05-09,,Washington,US,16674.0,921.0,0.0,15753.0,,,7614893
2020-05-10,,Washington,US,16891.0,931.0,0.0,15960.0,,,7614893
2020-05-11,,Washington,US,17122.0,945.0,0.0,16177.0,,,7614893
2020-05-12,,Washington,US,17330.0,962.0,0.0,16368.0,,,7614893
2020-05-13,,Washington,US,17512.0,974.0,0.0,16538.0,,,7614893
2020-05-14,,Washington,US,17773.0,983.0,0.0,16790.0,,,7614893
2020-05-15,,Washington,US,17951.0,991.0,0.0,16960.0,,,7614893
2020-05-16,,Washington,US,18288.0,999.0,0.0,17289.0,,,7614893
2020-05-17,,Washington,US,18433.0,1001.0,0.0,17432.0,,,7614893
2020-05-18,,Washington,US,18611.0,1002.0,0.0,17609.0,,,7614893
2020-05-19,,Washington,US,18811.0,1031.0,0.0,17780.0,,,7614893
2020-05-20,,Washington,US,18971.0,1037.0,0.0,17934.0,,,7614893
2020-05-21,,Washington,US,19117.0,1044.0,0.0,18073.0,,,7614893
2020-05-22,,Washington,US,19265.0,1050.0,0.0,18215.0,,,7614893
2020-05-23,,Washington,US,19265.0,1050.0,0.0,18215.0,,,7614893
2020-05-24,,Washington,US,19828.0,1061.0,0.0,18767.0,,,7614893
2020-05-25,,Washington,US,20065.0,1070.0,0.0,18995.0,,,7614893
2020-05-26,,Washington,US,20181.0,1078.0,0.0,19103.0,,,7614893
2020-05-27,,Washington,US,20406.0,1095.0,0.0,19311.0,,,7614893
2020-05-28,,Washington,US,20764.0,1106.0,0.0,19658.0,,,7614893
2020-05-29,,Washington,US,21071.0,1111.0,0.0,19960.0,,,7614893
2020-05-30,,Washington,US,21349.0,1118.0,0.0,20231.0,,,7614893
2020-05-31,,Washington,US,21702.0,1118.0,0.0,20584.0,,,7614893
2020-06-01,,Washington,US,21977.0,1123.0,0.0,20854.0,,,7614893
2020-06-02,,Washington,US,22157.0,1129.0,0.0,21028.0,,,7614893
2020-06-03,,Washington,US,22484.0,1135.0,0.0,21349.0,,,7614893
2020-06-04,,Washington,US,22729.0,1138.0,0.0,21591.0,,,7614893
2020-06-05,,Washington,US,22993.0,1149.0,0.0,21844.0,,,7614893
2020-06-06,,Washington,US,23442.0,1153.0,0.0,22289.0,,,7614893
2020-06-07,,Washington,US,23729.0,1157.0,0.0,22572.0,,,7614893
2020-06-08,,Washington,US,24041.0,1161.0,0.0,22880.0,,,7614893
2020-06-09,,Washington,US,24354.0,1176.0,0.0,23178.0,,,7614893
2020-06-10,,Washington,US,24354.0,1176.0,0.0,23178.0,,,7614893
2020-06-11,,Washington,US,24779.0,1194.0,0.0,23585.0,,,7614893
2020-06-12,,Washington,US,25171.0,1204.0,0.0,23967.0,,,7614893
2020-06-13,,Washington,US,25538.0,1213.0,0.0,24325.0,,,7614893
2020-06-14,,Washington,US,25834.0,1217.0,0.0,24617.0,,,7614893
2020-06-15,,Washington,US,26158.0,1220.0,0.0,24938.0,,,7614893
2020-06-16,,Washington,US,26531.0,1231.0,0.0,25300.0,,,7614893
2020-06-17,,Washington,US,26784.0,1226.0,0.0,25558.0,,,7614893
2020-06-18,,Washington,US,27192.0,1245.0,0.0,25947.0,,,7614893
2020-06-19,,Washington,US,27601.0,1255.0,0.0,26346.0,,,7614893
2020-06-20,,Washington,US,28225.0,1265.0,0.0,26960.0,,,7614893
2020-06-21,,Washington,US,28680.0,1270.0,0.0,27410.0,,,7614893
2020-06-22,,Washington,US,28870.0,1276.0,0.0,27594.0,,,7614893
2020-06-23,,Washington,US,29386.0,1284.0,0.0,28102.0,,,7614893
2020-06-24,,Washington,US,29869.0,1293.0,0.0,28576.0,,,7614893
2020-06-25,,Washington,US,30367.0,1300.0,0.0,29067.0,,,7614893
2020-06-26,,Washington,US,30855.0,1304.0,0.0,29551.0,,,7614893
2020-06-27,,Washington,US,31404.0,1310.0,0.0,30094.0,,,7614893
2020-06-28,,Washington,US,31752.0,1310.0,0.0,30442.0,,,7614893
2020-06-29,,Washington,US,32253.0,1320.0,0.0,30933.0,,,7614893
2020-06-30,,Washington,US,32824.0,1332.0,0.0,31492.0,,,7614893
2020-07-01,,Washington,US,33435.0,1339.0,0.0,32096.0,,,7614893
2020-01-22,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-23,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-24,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-25,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-26,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-27,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-28,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-29,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-30,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-01-31,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-01,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-02,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-03,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-04,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-05,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-06,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-07,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-08,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-09,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-10,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-11,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-12,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-13,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-14,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-15,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-16,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-17,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-18,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-19,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-20,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-21,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-22,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-23,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-24,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-25,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-26,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-27,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-28,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-02-29,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-01,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-02,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-03,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-04,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-05,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-06,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-07,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-08,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-09,,Utah,US,0.0,0.0,0.0,0.0,,,3205958
2020-03-10,,Utah,US,2.0,0.0,0.0,0.0,,,3205958
2020-03-11,,Utah,US,3.0,0.0,0.0,0.0,,,3205958
2020-03-12,,Utah,US,5.0,0.0,0.0,0.0,,,3205958
2020-03-13,,Utah,US,9.0,0.0,0.0,0.0,,,3205958
2020-03-14,,Utah,US,10.0,0.0,0.0,0.0,,,3205958
2020-03-15,,Utah,US,28.0,0.0,0.0,0.0,,,3205958
2020-03-16,,Utah,US,39.0,0.0,0.0,0.0,,,3205958
2020-03-17,,Utah,US,51.0,0.0,0.0,0.0,,,3205958
2020-03-18,,Utah,US,51.0,0.0,0.0,0.0,,,3205958
2020-03-19,,Utah,US,80.0,0.0,0.0,0.0,,,3205958
2020-03-20,,Utah,US,78.0,0.0,0.0,0.0,,,3205958
2020-03-21,,Utah,US,136.0,0.0,0.0,0.0,,,3205958
2020-03-22,,Utah,US,162.0,1.0,0.0,0.0,,,3205958
2020-03-23,,Utah,US,257.0,1.0,0.0,0.0,,,3205958
2020-03-24,,Utah,US,298.0,1.0,0.0,0.0,,,3205958
2020-03-25,,Utah,US,340.0,1.0,0.0,0.0,,,3205958
2020-03-26,,Utah,US,396.0,1.0,0.0,0.0,,,3205958
2020-03-27,,Utah,US,472.0,1.0,0.0,0.0,,,3205958
2020-03-28,,Utah,US,602.0,1.0,0.0,0.0,,,3205958
2020-03-29,,Utah,US,720.0,2.0,0.0,0.0,,,3205958
2020-03-30,,Utah,US,798.0,4.0,0.0,0.0,,,3205958
2020-03-31,,Utah,US,888.0,5.0,0.0,0.0,,,3205958
2020-04-01,,Utah,US,888.0,5.0,0.0,0.0,,,3205958
2020-04-02,,Utah,US,1092.0,7.0,0.0,0.0,,,3205958
2020-04-03,,Utah,US,1255.0,7.0,0.0,0.0,,,3205958
2020-04-04,,Utah,US,1435.0,8.0,0.0,0.0,,,3205958
2020-04-05,,Utah,US,1608.0,8.0,0.0,0.0,,,3205958
2020-04-06,,Utah,US,1685.0,13.0,0.0,0.0,,,3205958
2020-04-07,,Utah,US,1746.0,13.0,0.0,0.0,,,3205958
2020-04-08,,Utah,US,1855.0,13.0,0.0,0.0,,,3205958
2020-04-09,,Utah,US,1856.0,13.0,0.0,0.0,,,3205958
2020-04-10,,Utah,US,2103.0,17.0,0.0,0.0,,,3205958
2020-04-11,,Utah,US,2207.0,18.0,0.0,0.0,,,3205958
2020-04-12,,Utah,US,2303.0,18.0,0.0,2285.0,,,3205958
2020-04-13,,Utah,US,2363.0,13.0,0.0,2350.0,,,3205958
2020-04-14,,Utah,US,2417.0,18.0,0.0,2399.0,,,3205958
2020-04-15,,Utah,US,2548.0,20.0,0.0,2528.0,,,3205958
2020-04-16,,Utah,US,2683.0,20.0,0.0,2663.0,,,3205958
2020-04-17,,Utah,US,2793.0,23.0,0.0,2770.0,,,3205958
2020-04-18,,Utah,US,2917.0,25.0,0.0,2892.0,,,3205958
2020-04-19,,Utah,US,3069.0,27.0,0.0,3042.0,,,3205958
2020-04-20,,Utah,US,3213.0,28.0,0.0,3185.0,,,3205958
2020-04-21,,Utah,US,3297.0,32.0,0.0,3265.0,,,3205958
2020-04-22,,Utah,US,3445.0,32.0,0.0,3413.0,,,3205958
2020-04-23,,Utah,US,3612.0,35.0,0.0,3577.0,,,3205958
2020-04-24,,Utah,US,3782.0,39.0,0.0,3743.0,,,3205958
2020-04-25,,Utah,US,3948.0,41.0,0.0,3907.0,,,3205958
2020-04-26,,Utah,US,4123.0,41.0,0.0,4082.0,,,3205958
2020-04-27,,Utah,US,4236.0,41.0,0.0,4195.0,,,3205958
2020-04-28,,Utah,US,4345.0,41.0,0.0,4304.0,,,3205958
2020-04-29,,Utah,US,4497.0,45.0,0.0,4452.0,,,3205958
2020-04-30,,Utah,US,4672.0,46.0,0.0,4626.0,,,3205958
2020-05-01,,Utah,US,4828.0,46.0,0.0,4782.0,,,3205958
2020-05-02,,Utah,US,4985.0,49.0,0.0,4936.0,,,3205958
2020-05-03,,Utah,US,5175.0,50.0,0.0,5125.0,,,3205958
2020-05-04,,Utah,US,5317.0,50.0,0.0,5267.0,,,3205958
2020-05-05,,Utah,US,5449.0,56.0,0.0,5393.0,,,3205958
2020-05-06,,Utah,US,5595.0,58.0,0.0,5537.0,,,3205958
2020-05-07,,Utah,US,5724.0,61.0,0.0,5663.0,,,3205958
2020-05-08,,Utah,US,5919.0,61.0,0.0,5858.0,,,3205958
2020-05-09,,Utah,US,6103.0,66.0,0.0,6037.0,,,3205958
2020-05-10,,Utah,US,6251.0,67.0,0.0,6184.0,,,3205958
2020-05-11,,Utah,US,6362.0,68.0,0.0,6294.0,,,3205958
2020-05-12,,Utah,US,6432.0,73.0,0.0,6359.0,,,3205958
2020-05-13,,Utah,US,6620.0,75.0,0.0,6545.0,,,3205958
2020-05-14,,Utah,US,6749.0,75.0,0.0,6674.0,,,3205958
2020-05-15,,Utah,US,6913.0,77.0,0.0,6836.0,,,3205958
2020-05-16,,Utah,US,7068.0,78.0,0.0,6990.0,,,3205958
