Date,Region,Province,Country,Total_Confirmed,Total_Deaths,Total_Recovered,Total_Active
01-22-2020,,Anhui,Mainland China,1.0,,,
01-22-2020,,Beijing,Mainland China,14.0,,,
01-22-2020,,Chongqing,Mainland China,6.0,,,
01-22-2020,,Fujian,Mainland China,1.0,,,
01-22-2020,,Gansu,Mainland China,,,,
01-22-2020,,Guangdong,Mainland China,26.0,,,
01-22-2020,,Guangxi,Mainland China,2.0,,,
01-22-2020,,Guizhou,Mainland China,1.0,,,
01-22-2020,,Hainan,Mainland China,4.0,,,
01-22-2020,,Hebei,Mainland China,1.0,,,
01-22-2020,,Heilongjiang,Mainland China,,,,
01-22-2020,,Henan,Mainland China,5.0,,,
01-22-2020,,Hong Kong,Hong Kong,,,,
01-22-2020,,Hubei,Mainland China,444.0,17.0,28.0,
01-22-2020,,Hunan,Mainland China,4.0,,,
01-22-2020,,Inner Mongolia,Mainland China,,,,
01-22-2020,,Jiangsu,Mainland China,1.0,,,
01-22-2020,,Jiangxi,Mainland China,2.0,,,
01-22-2020,,Jilin,Mainland China,,,,
01-22-2020,,Liaoning,Mainland China,2.0,,,
01-22-2020,,Macau,Macau,1.0,,,
01-22-2020,,Ningxia,Mainland China,1.0,,,
01-22-2020,,Qinghai,Mainland China,,,,
01-22-2020,,Shaanxi,Mainland China,,,,
01-22-2020,,Shandong,Mainland China,2.0,,,
01-22-2020,,Shanghai,Mainland China,9.0,,,
01-22-2020,,Shanxi,Mainland China,1.0,,,
01-22-2020,,Sichuan,Mainland China,5.0,,,
01-22-2020,,Taiwan,Taiwan,1.0,,,
01-22-2020,,Tianjin,Mainland China,4.0,,,
01-22-2020,,Tibet,Mainland China,,,,
01-22-2020,,Washington,US,1.0,,,
01-22-2020,,Xinjiang,Mainland China,,,,
01-22-2020,,Yunnan,Mainland China,1.0,,,
01-22-2020,,Zhejiang,Mainland China,10.0,,,
01-22-2020,,,Japan,2.0,,,
01-22-2020,,,Thailand,2.0,,,
01-22-2020,,,South Korea,1.0,,,
01-23-2020,,Anhui,Mainland China,9.0,,,
01-23-2020,,Beijing,Mainland China,22.0,,,
01-23-2020,,Chongqing,Mainland China,9.0,,,
01-23-2020,,Fujian,Mainland China,5.0,,,
01-23-2020,,Gansu,Mainland China,2.0,,,
01-23-2020,,Guangdong,Mainland China,32.0,,2.0,
01-23-2020,,Guangxi,Mainland China,5.0,,,
01-23-2020,,Guizhou,Mainland China,3.0,,,
01-23-2020,,Hainan,Mainland China,5.0,,,
01-23-2020,,Hebei,Mainland China,1.0,1.0,,
01-23-2020,,Heilongjiang,Mainland China,2.0,,,
01-23-2020,,Henan,Mainland China,5.0,,,
01-23-2020,,Hong Kong,Hong Kong,2.0,,,
01-23-2020,,Hubei,Mainland China,444.0,17.0,28.0,
01-23-2020,,Hunan,Mainland China,9.0,,,
01-23-2020,,Inner Mongolia,Mainland China,,,,
01-23-2020,,Jiangsu,Mainland China,5.0,,,
01-23-2020,,Jiangxi,Mainland China,7.0,,,
01-23-2020,,Jilin,Mainland China,1.0,,,
01-23-2020,,Liaoning,Mainland China,3.0,,,
01-23-2020,,Macau,Macau,2.0,,,
01-23-2020,,Ningxia,Mainland China,1.0,,,
01-23-2020,,Qinghai,Mainland China,,,,
01-23-2020,,Shaanxi,Mainland China,3.0,,,
01-23-2020,,Shandong,Mainland China,6.0,,,
01-23-2020,,Shanghai,Mainland China,16.0,,,
01-23-2020,,Shanxi,Mainland China,1.0,,,
01-23-2020,,Sichuan,Mainland China,8.0,,,
01-23-2020,,Taiwan,Taiwan,1.0,,,
01-23-2020,,Tianjin,Mainland China,4.0,,,
01-23-2020,,Tibet,Mainland China,,,,
01-23-2020,,Washington,US,1.0,,,
01-23-2020,,Xinjiang,Mainland China,2.0,,,
01-23-2020,,Yunnan,Mainland China,2.0,,,
01-23-2020,,Zhejiang,Mainland China,27.0,,,
01-23-2020,,,Japan,1.0,,,
01-23-2020,,,Thailand,3.0,,,
01-23-2020,,,South Korea,1.0,,,
01-23-2020,,,Singapore,1.0,,,
01-23-2020,,,Philippines,,,,
01-23-2020,,,Malaysia,,,,
01-23-2020,,,Vietnam,2.0,,,
01-23-2020,,,Australia,,,,
01-23-2020,,,Mexico,,,,
01-23-2020,,,Brazil,,,,
01-23-2020,,,Colombia,,,,
01-24-2020,,Hubei,Mainland China,549.0,24.0,31.0,
01-24-2020,,Guangdong,Mainland China,53.0,,2.0,
01-24-2020,,Zhejiang,Mainland China,43.0,,1.0,
01-24-2020,,Beijing,Mainland China,36.0,,1.0,
01-24-2020,,Chongqing,Mainland China,27.0,,,
01-24-2020,,Hunan,Mainland China,24.0,,,
01-24-2020,,Guangxi,Mainland China,23.0,,,
01-24-2020,,Shanghai,Mainland China,20.0,,1.0,
01-24-2020,,Jiangxi,Mainland China,18.0,,,
01-24-2020,,Sichuan,Mainland China,15.0,,,
01-24-2020,,Shandong,Mainland China,15.0,,,
01-24-2020,,Anhui,Mainland China,15.0,,,
01-24-2020,,Fujian,Mainland China,10.0,,,
01-24-2020,,Henan,Mainland China,9.0,,,
01-24-2020,,Jiangsu,Mainland China,9.0,,,
01-24-2020,,Hainan,Mainland China,8.0,,,
01-24-2020,,Tianjin,Mainland China,8.0,,,
01-24-2020,,Yunnan,Mainland China,5.0,,,
