Date,Region,Province,Country,Total_Confirmed,Total_Deaths,Total_Recovered
2020-04-02,Beadle,South Dakota,US,21,1.0,13
2020-04-02,Bon Homme,South Dakota,US,1,0.0,1
2020-04-02,Charles Mix,South Dakota,US,1,0.0,1
2020-04-02,Davison,South Dakota,US,3,0.0,2
2020-04-02,McCook,South Dakota,US,2,0.0,1
2020-04-02,Minnehaha,South Dakota,US,54,0.0,12
2020-04-02,Brown,South Dakota,US,6,0.0,2
2020-04-02,Pennington,South Dakota,US,6,0.0,1
2020-04-02,Brookings,South Dakota,US,2,0.0,2
2020-04-02,Codington,South Dakota,US,6,0.0,2
2020-04-02,Hughes,South Dakota,US,3,0.0,2
2020-04-02,Lyman,South Dakota,US,1,0.0,1
2020-04-02,Meade,South Dakota,US,1,0.0,1
2020-04-02,Lincoln,South Dakota,US,17,0.0,1
2020-04-02,Aurora,South Dakota,US,1,0.0,1
2020-04-02,Faulk,South Dakota,US,1,0.0,1
2020-04-02,Lawrence,South Dakota,US,9,0.0,3
2020-04-02,Todd,South Dakota,US,1,0.0,0
2020-04-02,Union,South Dakota,US,3,0.0,1
2020-04-02,Clark,South Dakota,US,1,0.0,1
2020-04-02,Clay,South Dakota,US,3,0.0,2
2020-04-02,Deuel,South Dakota,US,1,0.0,0
2020-04-02,Fall River,South Dakota,US,1,0.0,1
2020-04-02,Hamlin,South Dakota,US,1,0.0,0
2020-04-02,Hutchinson,South Dakota,US,2,0.0,2
2020-04-02,Marshall,South Dakota,US,1,0.0,1
2020-04-02,Kingsbury,South Dakota,US,0,0.0,1
2020-04-02,Roberts,South Dakota,US,2,0.0,0
2020-04-02,Turner,South Dakota,US,2,0.0,0
2020-04-03,Beadle,South Dakota,US,21,1.0,13
2020-04-03,Bon Homme,South Dakota,US,1,0.0,1
2020-04-03,Charles Mix,South Dakota,US,1,0.0,1
2020-04-03,Davison,South Dakota,US,3,0.0,2
2020-04-03,McCook,South Dakota,US,2,0.0,1
2020-04-03,Minnehaha,South Dakota,US,54,0.0,12
2020-04-03,Brown,South Dakota,US,6,0.0,2
2020-04-03,Pennington,South Dakota,US,6,0.0,1
2020-04-03,Brookings,South Dakota,US,2,0.0,2
2020-04-03,Codington,South Dakota,US,6,0.0,2
2020-04-03,Hughes,South Dakota,US,3,0.0,2
2020-04-03,Lyman,South Dakota,US,1,0.0,1
2020-04-03,Meade,South Dakota,US,1,0.0,1
2020-04-03,Lincoln,South Dakota,US,17,0.0,1
2020-04-03,Aurora,South Dakota,US,1,0.0,1
2020-04-03,Faulk,South Dakota,US,1,0.0,1
2020-04-03,Lawrence,South Dakota,US,9,0.0,3
2020-04-03,Todd,South Dakota,US,1,0.0,0
2020-04-03,Union,South Dakota,US,3,0.0,1
2020-04-03,Clark,South Dakota,US,1,0.0,1
2020-04-03,Clay,South Dakota,US,3,0.0,2
2020-04-03,Deuel,South Dakota,US,1,0.0,0
2020-04-03,Fall River,South Dakota,US,1,0.0,1
2020-04-03,Hamlin,South Dakota,US,1,0.0,0
2020-04-03,Hutchinson,South Dakota,US,2,0.0,2
2020-04-03,Marshall,South Dakota,US,1,0.0,1
2020-04-03,Kingsbury,South Dakota,US,0,0.0,1
2020-04-03,Roberts,South Dakota,US,2,0.0,0
2020-04-03,Turner,South Dakota,US,2,0.0,0
2020-04-04,Beadle,South Dakota,US,21,1.0,18
2020-04-04,Bon Homme,South Dakota,US,1,0.0,1
2020-04-04,Charles Mix,South Dakota,US,2,0.0,1
2020-04-04,Davison,South Dakota,US,3,0.0,2
2020-04-04,McCook,South Dakota,US,2,0.0,1
2020-04-04,Minnehaha,South Dakota,US,81,0.0,15
2020-04-04,Brown,South Dakota,US,9,0.0,5
2020-04-04,Pennington,South Dakota,US,6,0.0,1
2020-04-04,Brookings,South Dakota,US,3,0.0,2
2020-04-04,Codington,South Dakota,US,9,0.0,3
2020-04-04,Hughes,South Dakota,US,3,0.0,2
2020-04-04,Lyman,South Dakota,US,1,0.0,1
2020-04-04,Meade,South Dakota,US,1,0.0,1
2020-04-04,Lincoln,South Dakota,US,21,0.0,4
2020-04-04,Aurora,South Dakota,US,1,0.0,1
2020-04-04,Faulk,South Dakota,US,1,0.0,1
2020-04-04,Lawrence,South Dakota,US,9,0.0,4
2020-04-04,Todd,South Dakota,US,1,0.0,0
2020-04-04,Union,South Dakota,US,3,0.0,1
2020-04-04,Clark,South Dakota,US,1,0.0,1
2020-04-04,Clay,South Dakota,US,3,0.0,2
2020-04-04,Deuel,South Dakota,US,1,0.0,0
2020-04-04,Fall River,South Dakota,US,1,0.0,1
2020-04-04,Hamlin,South Dakota,US,1,0.0,0
2020-04-04,Hutchinson,South Dakota,US,2,0.0,2
2020-04-04,Marshall,South Dakota,US,1,0.0,1
2020-04-04,Kingsbury,South Dakota,US,1,0.0,1
2020-04-04,Roberts,South Dakota,US,4,0.0,0
2020-04-04,Turner,South Dakota,US,3,0.0,1
2020-04-05,Beadle,South Dakota,US,21,1.0,18
2020-04-05,Bon Homme,South Dakota,US,1,0.0,1
2020-04-05,Charles Mix,South Dakota,US,2,0.0,1
2020-04-05,Davison,South Dakota,US,3,0.0,2
2020-04-05,McCook,South Dakota,US,2,0.0,1
2020-04-05,Minnehaha,South Dakota,US,104,0.0,18
2020-04-05,Brown,South Dakota,US,9,0.0,5
2020-04-05,Pennington,South Dakota,US,6,0.0,2
2020-04-05,Brookings,South Dakota,US,3,0.0,2
2020-04-05,Codington,South Dakota,US,10,0.0,4
2020-04-05,Hughes,South Dakota,US,3,0.0,2
2020-04-05,Lyman,South Dakota,US,1,0.0,1
2020-04-05,Meade,South Dakota,US,1,0.0,1
2020-04-05,Lincoln,South Dakota,US,23,0.0,4
2020-04-05,Aurora,South Dakota,US,1,0.0,1
2020-04-05,Faulk,South Dakota,US,1,0.0,1
2020-04-05,Lawrence,South Dakota,US,9,0.0,5
2020-04-05,Todd,South Dakota,US,1,0.0,0
2020-04-05,Union,South Dakota,US,3,0.0,1
2020-04-05,Clark,South Dakota,US,1,0.0,1
2020-04-05,Clay,South Dakota,US,3,0.0,2
2020-04-05,Deuel,South Dakota,US,1,0.0,0
2020-04-05,Fall River,South Dakota,US,1,0.0,1
2020-04-05,Hamlin,South Dakota,US,1,0.0,0
2020-04-05,Hutchinson,South Dakota,US,2,0.0,2
2020-04-05,Marshall,South Dakota,US,1,0.0,1
2020-04-05,Kingsbury,South Dakota,US,1,0.0,1
2020-04-05,Roberts,South Dakota,US,4,0.0,0
2020-04-05,Turner,South Dakota,US,4,0.0,1
2020-04-06,Beadle,South Dakota,US,21,2.0,18
2020-04-06,Bon Homme,South Dakota,US,2,0.0,1
2020-04-06,Charles Mix,South Dakota,US,2,0.0,1
2020-04-06,Davison,South Dakota,US,3,0.0,2
2020-04-06,McCook,South Dakota,US,2,0.0,1
2020-04-06,Minnehaha,South Dakota,US,140,1.0,23
2020-04-06,Brown,South Dakota,US,13,0.0,5
2020-04-06,Pennington,South Dakota,US,6,0.0,3
2020-04-06,Brookings,South Dakota,US,4,0.0,2
2020-04-06,Codington,South Dakota,US,11,0.0,4
2020-04-06,Hughes,South Dakota,US,3,0.0,2
2020-04-06,Lyman,South Dakota,US,1,0.0,1
2020-04-06,Meade,South Dakota,US,1,0.0,1
